@RELATION AVRO
@ATTRIBUTE Version Numeric 
@ATTRIBUTE FileName String 
@ATTRIBUTE Size Numeric 
@ATTRIBUTE NR Numeric 
@ATTRIBUTE LOC_TOUCH Numeric 
@ATTRIBUTE LOC_ADD Numeric 
@ATTRIBUTE MAX_LOC_ADD Numeric 
@ATTRIBUTE Churn Numeric 
@ATTRIBUTE MAX_Churn Numeric 
@ATTRIBUTE AVG_LOC_ADDED Numeric 
@ATTRIBUTE AVG_CHURN Numeric 
@ATTRIBUTE Buggy {0,1} 

@DATA 
1,C:\Users\kew1\Desktop\Test\bookkeeper_versions\ProjectAnalysis\AVRO\src\java\org\apache\avro\ipc\Requestor.java,183,8,443,338,338,712,338,42.25,89.0,1
1,C:\Users\kew1\Desktop\Test\bookkeeper_versions\ProjectAnalysis\AVRO\src\java\org\apache\avro\ipc\Responder.java,174,9,461,337,337,670,337,37.444443,74.44444,1
1,C:\Users\kew1\Desktop\Test\bookkeeper_versions\ProjectAnalysis\AVRO\src\java\org\apache\avro\ipc\SocketServer.java,110,5,379,261,261,314,261,52.2,62.8,1
1,C:\Users\kew1\Desktop\Test\bookkeeper_versions\ProjectAnalysis\AVRO\src\java\org\apache\avro\ipc\SocketTransceiver.java,93,4,267,180,180,192,180,45.0,48.0,1
1,C:\Users\kew1\Desktop\Test\bookkeeper_versions\ProjectAnalysis\AVRO\src\java\org\apache\avro\ipc\Transceiver.java,42,4,122,82,82,86,82,20.5,21.5,1
1,C:\Users\kew1\Desktop\Test\bookkeeper_versions\ProjectAnalysis\AVRO\src\java\org\apache\avro\Protocol.java,339,13,1027,727,727,1655,727,55.923077,127.30769,1
1,C:\Users\kew1\Desktop\Test\bookkeeper_versions\ProjectAnalysis\AVRO\src\java\org\apache\avro\reflect\FixedSize.java,30,1,30,30,30,30,30,30.0,30.0,1
1,C:\Users\kew1\Desktop\Test\bookkeeper_versions\ProjectAnalysis\AVRO\src\java\org\apache\avro\reflect\ReflectData.java,244,9,664,469,469,787,469,52.11111,87.44444,1
1,C:\Users\kew1\Desktop\Test\bookkeeper_versions\ProjectAnalysis\AVRO\src\java\org\apache\avro\reflect\ReflectDatumReader.java,118,8,367,273,273,540,273,34.125,67.5,1
1,C:\Users\kew1\Desktop\Test\bookkeeper_versions\ProjectAnalysis\AVRO\src\java\org\apache\avro\reflect\ReflectDatumWriter.java,68,8,220,158,158,259,158,19.75,32.375,1
1,C:\Users\kew1\Desktop\Test\bookkeeper_versions\ProjectAnalysis\AVRO\src\java\org\apache\avro\reflect\ReflectRequestor.java,85,5,251,174,174,219,174,34.8,43.8,1
1,C:\Users\kew1\Desktop\Test\bookkeeper_versions\ProjectAnalysis\AVRO\src\java\org\apache\avro\reflect\ReflectResponder.java,124,8,381,262,262,332,262,32.75,41.5,1
1,C:\Users\kew1\Desktop\Test\bookkeeper_versions\ProjectAnalysis\AVRO\src\java\org\apache\avro\Schema.java,725,16,1864,1413,1413,5433,1413,88.3125,339.5625,1
1,C:\Users\kew1\Desktop\Test\bookkeeper_versions\ProjectAnalysis\AVRO\src\java\org\apache\avro\SchemaParseException.java,24,3,72,48,48,48,48,16.0,16.0,1
1,C:\Users\kew1\Desktop\Test\bookkeeper_versions\ProjectAnalysis\AVRO\src\java\org\apache\avro\specific\ProtocolTask.java,105,4,280,196,196,252,196,49.0,63.0,1
1,C:\Users\kew1\Desktop\Test\bookkeeper_versions\ProjectAnalysis\AVRO\src\java\org\apache\avro\specific\SchemaTask.java,28,4,87,59,59,65,59,14.75,16.25,1
1,C:\Users\kew1\Desktop\Test\bookkeeper_versions\ProjectAnalysis\AVRO\src\java\org\apache\avro\specific\SpecificCompiler.java,269,12,750,525,525,915,525,43.75,76.25,1
1,C:\Users\kew1\Desktop\Test\bookkeeper_versions\ProjectAnalysis\AVRO\src\java\org\apache\avro\specific\SpecificDatumReader.java,48,8,456,303,303,402,303,37.875,50.25,1
