DATASET;%TRAININGDATA;%DEFECTTRAIN;%DEFECTTEST;CLASSIFIER;TP;FP;TN;FN;PRECISION;RECALL;ROC;KAPPA
AVRO RUN BEST FIRST ;0.34160258;0.043572985;0.037878788;CostSensitiveThreshold RandomForest;0;0;254;10;0;0;0.5;0.00000
AVRO RUN BEST FIRST ;0.407095014;0.042656917;0.029739777;CostSensitiveLearning RandomForest;0;0;261;8;0;0;0.818965517;0.00000
AVRO RUN BEST FIRST ;0.407095014;0.042656917;0.029739777;CostSensitiveThreshold RandomForest;0;0;261;8;0;0;0.5;0.00000
AVRO RUN BEST FIRST ;0.473827834;0.040837696;0.028880866;CostSensitiveLearning RandomForest;0;0;269;8;0;0;0.969795539;0.00000
AVRO RUN BEST FIRST ;0.542545274;0.039323274;0.030927835;CostSensitiveLearning RandomForest;0;0;282;9;0;0;0.871355398;0.00000
AVRO RUN BEST FIRST ;0.842718928;0.037680306;0.038095238;CostSensitiveLearning RandomForest;0;0;303;12;0;0;0.996974697;0.00000
AVRO UNDERSAMPLED RUN BEST FIRST ;0.004217316;0.352941176;0.642857143;Random Forest;0;0;5;9;0;0;0.5;0.00000
AVRO UNDERSAMPLED RUN BEST FIRST ;0.004217316;0.352941176;0.642857143;NaiveBayes;0;0;5;9;0;0;0.5;0.00000
AVRO UNDERSAMPLED RUN BEST FIRST ;0.004217316;0.352941176;0.642857143;IBK;0;0;5;9;0;0;0.5;0.00000
AVRO UNDERSAMPLED RUN BEST FIRST ;0.004217316;0.352941176;0.642857143;CostSensitiveLearning RandomForest;0;0;5;9;0;0;0.5;0.00000
AVRO UNDERSAMPLED RUN BEST FIRST ;0.004217316;0.352941176;0.642857143;CostSensitiveThreshold RandomForest;0;0;5;9;0;0;0.5;0.00000
AVRO UNDERSAMPLED RUN BEST FIRST ;0.004217316;0.352941176;0.642857143;CostSensitiveLearning NaiveBayes;0;0;5;9;0;0;0.5;0.00000
AVRO UNDERSAMPLED RUN BEST FIRST ;0.004217316;0.352941176;0.642857143;CostSensitiveThreshold NaiveBayes;0;0;5;9;0;0;0.5;0.00000
AVRO UNDERSAMPLED RUN BEST FIRST ;0.004217316;0.352941176;0.642857143;CostSensitiveLearning IBK;0;0;5;9;0;0;0.5;0.00000
AVRO UNDERSAMPLED RUN BEST FIRST ;0.004217316;0.352941176;0.642857143;CostSensitiveThreshold IBK;0;0;5;9;0;0;0.5;0.00000
AVRO UNDERSAMPLED RUN BEST FIRST ;0.007690399;0.483870968;0.642857143;Random Forest;0;0;5;9;0;0;0.277777778;0.00000
AVRO UNDERSAMPLED RUN BEST FIRST ;0.007690399;0.483870968;0.642857143;NaiveBayes;0;0;5;9;0;0;0.655555556;0.00000
AVRO UNDERSAMPLED RUN BEST FIRST ;0.007690399;0.483870968;0.642857143;IBK;0;0;5;9;0;0;0.5;0.00000
AVRO UNDERSAMPLED RUN BEST FIRST ;0.007690399;0.483870968;0.642857143;CostSensitiveLearning RandomForest;0;0;5;9;0;0;0.366666667;0.00000
AVRO UNDERSAMPLED RUN BEST FIRST ;0.007690399;0.483870968;0.642857143;CostSensitiveThreshold RandomForest;0;0;5;9;0;0;0.5;0.00000
AVRO UNDERSAMPLED RUN BEST FIRST ;0.007690399;0.483870968;0.642857143;CostSensitiveLearning NaiveBayes;0;0;5;9;0;0;0.655555556;0.00000
AVRO UNDERSAMPLED RUN BEST FIRST ;0.007690399;0.483870968;0.642857143;CostSensitiveThreshold NaiveBayes;0;0;5;9;0;0;0.5;0.00000
AVRO UNDERSAMPLED RUN BEST FIRST ;0.007690399;0.483870968;0.642857143;CostSensitiveLearning IBK;0;0;5;9;0;0;0.5;0.00000
AVRO UNDERSAMPLED RUN BEST FIRST ;0.007690399;0.483870968;0.642857143;CostSensitiveThreshold IBK;0;0;5;9;0;0;0.5;0.00000
AVRO OVERSAMPLED RUN BEST FIRST ;0.10022327;0.388613861;0.610951009;Random Forest;0;0;135;212;0;0;0.5;0.00000
AVRO OVERSAMPLED RUN BEST FIRST ;0.10022327;0.388613861;0.610951009;NaiveBayes;0;0;135;212;0;0;0.67440601;0.00000
AVRO OVERSAMPLED RUN BEST FIRST ;0.10022327;0.388613861;0.610951009;IBK;0;0;135;212;0;0;0.506044724;0.00000
AVRO OVERSAMPLED RUN BEST FIRST ;0.10022327;0.388613861;0.610951009;CostSensitiveLearning RandomForest;0;0;135;212;0;0;0.5;0.00000
AVRO OVERSAMPLED RUN BEST FIRST ;0.10022327;0.388613861;0.610951009;CostSensitiveThreshold RandomForest;0;0;135;212;0;0;0.5;0.00000
AVRO OVERSAMPLED RUN BEST FIRST ;0.10022327;0.388613861;0.610951009;CostSensitiveLearning NaiveBayes;0;0;135;212;0;0;0.67440601;0.00000
AVRO OVERSAMPLED RUN BEST FIRST ;0.10022327;0.388613861;0.610951009;CostSensitiveThreshold NaiveBayes;0;0;135;212;0;0;0.5;0.00000
AVRO OVERSAMPLED RUN BEST FIRST ;0.10022327;0.388613861;0.610951009;CostSensitiveLearning IBK;0;0;135;212;0;0;0.506044724;0.00000
AVRO OVERSAMPLED RUN BEST FIRST ;0.10022327;0.388613861;0.610951009;CostSensitiveThreshold IBK;0;0;135;212;0;0;0.5;0.00000
AVRO OVERSAMPLED RUN BEST FIRST ;0.186306128;0.491344874;0.628647215;Random Forest;0;0;140;237;0;0;0.5;0.00000
AVRO OVERSAMPLED RUN BEST FIRST ;0.186306128;0.491344874;0.628647215;IBK;0;0;140;237;0;0;0.504475588;0.00000
AVRO OVERSAMPLED RUN BEST FIRST ;0.186306128;0.491344874;0.628647215;CostSensitiveLearning RandomForest;0;0;140;237;0;0;0.616033755;0.00000
AVRO OVERSAMPLED RUN BEST FIRST ;0.186306128;0.491344874;0.628647215;CostSensitiveThreshold RandomForest;0;0;140;237;0;0;0.5;0.00000
AVRO OVERSAMPLED RUN BEST FIRST ;0.186306128;0.491344874;0.628647215;CostSensitiveLearning IBK;0;0;140;237;0;0;0.504475588;0.00000
AVRO OVERSAMPLED RUN BEST FIRST ;0.186306128;0.491344874;0.628647215;CostSensitiveThreshold IBK;0;0;140;237;0;0;0.5;0.00000
AVRO SMOTE RUN BEST FIRST ;0.066732821;0.037174721;0.103658537;CostSensitiveLearning RandomForest;0;0;147;17;0;0;0.588235294;0.00000
AVRO SMOTE RUN BEST FIRST ;0.107417514;0.062355658;0.074534161;CostSensitiveLearning RandomForest;0;0;149;12;0;0;0.856543624;0.00000
AVRO SMOTE RUN BEST FIRST ;0.107417514;0.062355658;0.074534161;CostSensitiveThreshold RandomForest;0;0;149;12;0;0;0.5;0.00000
AVRO SMOTE RUN BEST FIRST ;0.147357976;0.065656566;0.128654971;CostSensitiveLearning RandomForest;0;0;149;22;0;0;0.911531422;0.00000
AVRO SMOTE RUN BEST FIRST ;0.356983379;0.084781098;0.066176471;CostSensitiveLearning RandomForest;0;0;254;18;0;0;0.812773403;0.00000
AVRO SMOTE RUN BEST FIRST ;0.356983379;0.084781098;0.066176471;CostSensitiveThreshold RandomForest;0;0;254;18;0;0;0.5;0.00000
AVRO SMOTE RUN BEST FIRST ;0.424460432;0.081823495;0.064516129;CostSensitiveLearning RandomForest;0;0;261;18;0;0;0.887398893;0.00000
AVRO SMOTE RUN BEST FIRST ;0.424460432;0.081823495;0.064516129;CostSensitiveThreshold RandomForest;0;0;261;18;0;0;0.5;0.00000
BOOK RUN BEST FIRST ;0.800488103;0.125381098;0.025993884;CostSensitiveLearning RandomForest;0;0;637;17;0;0;0.957475298;0.00000
BOOK RUN BEST FIRST ;0.800488103;0.125381098;0.025993884;CostSensitiveThreshold RandomForest;0;0;637;17;0;0;0.5;0.00000
BOOK UNDERSAMPLED RUN BEST FIRST ;0.18395363;0.545605307;0.191011236;CostSensitiveLearning RandomForest;0;0;72;17;0;0;0.916666667;0.00000
BOOK UNDERSAMPLED RUN BEST FIRST ;0.18395363;0.545605307;0.191011236;CostSensitiveThreshold RandomForest;0;0;72;17;0;0;0.5;0.00000
AVRO RUN ;0.104440585;0.035629454;0.056962025;IBK;3;0;149;6;1;0.333333333;0.812080537;0.48534
AVRO RUN ;0.104440585;0.035629454;0.056962025;CostSensitiveLearning IBK;3;0;149;6;1;0.333333333;0.812080537;0.48534
AVRO RUN ;0.104440585;0.035629454;0.056962025;CostSensitiveThreshold IBK;3;0;149;6;1;0.333333333;0.666666667;0.48534
AVRO RUN ;0.143636815;0.041450777;0.056962025;Random Forest;4;0;149;5;1;0.444444444;0.929903057;0.60141
AVRO RUN ;0.143636815;0.041450777;0.056962025;IBK;5;0;149;4;1;0.555555556;0.834451902;0.70217
AVRO RUN ;0.143636815;0.041450777;0.056962025;CostSensitiveLearning IBK;5;0;149;4;1;0.555555556;0.834451902;0.70217
AVRO RUN ;0.143636815;0.041450777;0.056962025;CostSensitiveThreshold IBK;5;0;149;4;1;0.555555556;0.777777778;0.70217
AVRO RUN ;0.182833044;0.044776119;0.052631579;Random Forest;8;0;162;1;1;0.888888889;0.999314129;0.93811
AVRO RUN ;0.182833044;0.044776119;0.052631579;CostSensitiveThreshold RandomForest;1;0;162;8;1;0.111111111;0.555555556;0.19149
AVRO RUN ;0.225254279;0.046255507;0.039130435;Random Forest;5;0;221;4;1;0.555555556;0.902966315;0.70607
AVRO RUN ;0.225254279;0.046255507;0.039130435;CostSensitiveThreshold RandomForest;2;0;221;7;1;0.222222222;0.611111111;0.35445
AVRO RUN ;0.34160258;0.043572985;0.037878788;IBK;1;0;254;9;1;0.1;0.594291339;0.17614
AVRO RUN ;0.34160258;0.043572985;0.037878788;CostSensitiveLearning IBK;1;0;254;9;1;0.1;0.594291339;0.17614
AVRO RUN ;0.34160258;0.043572985;0.037878788;CostSensitiveThreshold IBK;1;0;254;9;1;0.1;0.55;0.17614
AVRO RUN ;0.542545274;0.039323274;0.030927835;Random Forest;5;0;282;4;1;0.555555556;0.930851064;0.70783
AVRO RUN ;0.542545274;0.039323274;0.030927835;CostSensitiveLearning RandomForest;1;0;282;8;1;0.111111111;0.92750197;0.19502
AVRO RUN ;0.542545274;0.039323274;0.030927835;CostSensitiveThreshold RandomForest;2;0;282;7;1;0.222222222;0.611111111;0.35640
AVRO RUN ;0.614735798;0.038337369;0.030927835;Random Forest;6;0;282;3;1;0.666666667;0.981284476;0.79493
AVRO RUN ;0.614735798;0.038337369;0.030927835;CostSensitiveLearning RandomForest;1;0;282;8;1;0.111111111;0.988967691;0.19502
AVRO RUN ;0.614735798;0.038337369;0.030927835;CostSensitiveThreshold RandomForest;3;0;282;6;1;0.333333333;0.666666667;0.49215
AVRO RUN ;0.686926321;0.037558685;0.038216561;CostSensitiveLearning RandomForest;1;0;302;11;1;0.083333333;0.907698675;0.14884
AVRO RUN ;0.686926321;0.037558685;0.038216561;CostSensitiveThreshold RandomForest;5;0;302;7;1;0.416666667;0.708333333;0.57877
AVRO RUN ;0.764822625;0.037625689;0.038216561;CostSensitiveLearning RandomForest;1;0;302;11;1;0.083333333;0.978062914;0.14884
